/scratch1/tsa5252/anaconda3/lib/python3.11/site-packages/hydra/_internal/defaults_list.py:251: UserWarning: In 'config': Defaults list is missing `_self_`. See https://hydra.cc/docs/1.2/upgrades/1.0_to_1.1/default_composition_order for more information
  warnings.warn(msg, UserWarning)
[[36m2026-02-28 02:18:12,623[0m][[34mOpenGL.acceleratesupport[0m][[32mINFO[0m] - No OpenGL_accelerate module loaded: No module named 'OpenGL_accelerate'[0m
Starting PPO Teacher Training on Hopper-v5...
global_step=84, episodic_return=12.61
global_step=220, episodic_return=32.28
global_step=340, episodic_return=12.32
global_step=460, episodic_return=31.89
global_step=660, episodic_return=50.48
global_step=772, episodic_return=29.45
global_step=860, episodic_return=12.34
global_step=1152, episodic_return=84.43
global_step=1236, episodic_return=19.99
global_step=1328, episodic_return=10.48
global_step=1416, episodic_return=9.63
global_step=1520, episodic_return=17.72
global_step=1656, episodic_return=13.71
global_step=1756, episodic_return=13.78
global_step=1856, episodic_return=12.98
global_step=1972, episodic_return=25.04
global_step=2220, episodic_return=38.71
global_step=2304, episodic_return=14.97
global_step=2388, episodic_return=12.61
global_step=2452, episodic_return=9.25
global_step=2548, episodic_return=19.80
global_step=2636, episodic_return=12.33
global_step=2692, episodic_return=8.11
global_step=2816, episodic_return=25.68
global_step=2896, episodic_return=17.94
global_step=2972, episodic_return=12.89
global_step=3064, episodic_return=14.48
global_step=3172, episodic_return=9.47
global_step=3304, episodic_return=21.49
global_step=3412, episodic_return=16.99
global_step=3612, episodic_return=51.81
global_step=3840, episodic_return=29.65
global_step=3912, episodic_return=10.50
global_step=4016, episodic_return=31.05
global_step=4132, episodic_return=32.30
global_step=4228, episodic_return=18.76
global_step=4372, episodic_return=28.95
global_step=4420, episodic_return=8.67
global_step=4728, episodic_return=110.99
global_step=5008, episodic_return=72.37
global_step=5092, episodic_return=15.39
global_step=5332, episodic_return=68.01
global_step=5432, episodic_return=16.64
global_step=5536, episodic_return=30.46
global_step=5656, episodic_return=17.88
global_step=5728, episodic_return=13.31
global_step=6240, episodic_return=172.50
global_step=6284, episodic_return=6.74
global_step=6384, episodic_return=15.94
global_step=6568, episodic_return=25.47
global_step=6648, episodic_return=13.19
global_step=6756, episodic_return=20.71
global_step=6852, episodic_return=15.11
global_step=6944, episodic_return=16.43
global_step=7212, episodic_return=92.79
global_step=7340, episodic_return=28.08
global_step=7628, episodic_return=106.84
global_step=7932, episodic_return=80.99
global_step=8072, episodic_return=14.41
Eval: global_step=8192, reward=203.30 +/- 2.21
global_step=8200, episodic_return=24.63
global_step=8496, episodic_return=61.30
