/scratch1/tsa5252/anaconda3/envs/spiceenv/lib/python3.8/site-packages/hydra/_internal/defaults_list.py:251: UserWarning: In 'config': Defaults list is missing `_self_`. See https://hydra.cc/docs/1.2/upgrades/1.0_to_1.1/default_composition_order for more information
  warnings.warn(msg, UserWarning)
[[36m2026-03-01 13:05:55,948[0m][[34mOpenGL.acceleratesupport[0m][[32mINFO[0m] - No OpenGL_accelerate module loaded: No module named 'OpenGL_accelerate'[0m
Starting PPO Teacher Training on Hopper-v5...
Initialized ContinuousAgent for Hopper-v5 with actor_logstd = 0.0
Initialized ContinuousAgent for Hopper-v5 with actor_logstd = 0.0
global_step=64, episodic_return=5.61
global_step=304, episodic_return=105.69
global_step=344, episodic_return=3.47
global_step=400, episodic_return=8.67
global_step=472, episodic_return=10.67
global_step=560, episodic_return=24.11
global_step=636, episodic_return=17.14
global_step=696, episodic_return=6.75
global_step=756, episodic_return=12.66
global_step=820, episodic_return=10.43
global_step=872, episodic_return=9.31
global_step=1008, episodic_return=28.92
global_step=1064, episodic_return=6.92
global_step=1104, episodic_return=5.75
global_step=1220, episodic_return=30.12
global_step=1276, episodic_return=8.26
global_step=1360, episodic_return=10.25
global_step=1428, episodic_return=11.41
global_step=1488, episodic_return=9.31
global_step=1552, episodic_return=12.25
global_step=1608, episodic_return=9.34
global_step=1664, episodic_return=7.34
global_step=1840, episodic_return=66.79
global_step=1932, episodic_return=24.55
global_step=2000, episodic_return=10.12
global_step=2108, episodic_return=10.62
global_step=2144, episodic_return=4.32
global_step=2216, episodic_return=17.70
global_step=2272, episodic_return=9.15
global_step=2320, episodic_return=3.29
global_step=2376, episodic_return=9.11
global_step=2524, episodic_return=32.38
global_step=2580, episodic_return=8.41
global_step=2664, episodic_return=9.45
global_step=2704, episodic_return=5.61
global_step=2800, episodic_return=12.84
global_step=2848, episodic_return=6.36
global_step=2920, episodic_return=3.59
global_step=2968, episodic_return=8.37
global_step=3068, episodic_return=11.51
global_step=3112, episodic_return=6.71
global_step=3180, episodic_return=9.82
global_step=3232, episodic_return=9.56
global_step=3276, episodic_return=7.46
global_step=3312, episodic_return=4.53
global_step=3440, episodic_return=40.62
global_step=3484, episodic_return=7.63
global_step=3624, episodic_return=6.80
global_step=3712, episodic_return=8.88
global_step=3840, episodic_return=9.27
global_step=3916, episodic_return=6.75
global_step=4024, episodic_return=11.09
global_step=4108, episodic_return=14.66
global_step=4196, episodic_return=20.38
global_step=4300, episodic_return=9.41
global_step=4372, episodic_return=11.93
global_step=4432, episodic_return=9.66
global_step=4688, episodic_return=92.35
global_step=4748, episodic_return=13.21
global_step=4816, episodic_return=6.67
global_step=4856, episodic_return=6.25
global_step=4916, episodic_return=9.55
global_step=4956, episodic_return=6.58
global_step=5060, episodic_return=26.67
global_step=5236, episodic_return=44.95
global_step=5296, episodic_return=10.53
global_step=5340, episodic_return=8.09
global_step=5476, episodic_return=37.21
global_step=5564, episodic_return=11.58
global_step=5612, episodic_return=5.33
global_step=5652, episodic_return=5.81
global_step=5700, episodic_return=8.63
global_step=5780, episodic_return=9.52
global_step=5908, episodic_return=7.69
global_step=5976, episodic_return=14.27
global_step=6044, episodic_return=13.95
global_step=6120, episodic_return=10.80
global_step=6208, episodic_return=13.31
global_step=6296, episodic_return=18.86
global_step=6344, episodic_return=6.31
global_step=6404, episodic_return=10.37
global_step=6512, episodic_return=11.08
global_step=6556, episodic_return=5.50
global_step=6596, episodic_return=5.18
global_step=6664, episodic_return=13.54
global_step=6768, episodic_return=10.52
global_step=6816, episodic_return=7.96
global_step=6916, episodic_return=27.28
global_step=7024, episodic_return=13.31
global_step=7088, episodic_return=8.73
global_step=7128, episodic_return=3.96
global_step=7180, episodic_return=6.53
global_step=7232, episodic_return=5.33
global_step=7372, episodic_return=9.26
global_step=7412, episodic_return=6.19
global_step=7556, episodic_return=28.77
global_step=7620, episodic_return=15.87
global_step=7676, episodic_return=7.43
global_step=7748, episodic_return=18.16
global_step=7788, episodic_return=5.48
global_step=7900, episodic_return=14.53
global_step=8028, episodic_return=41.44
global_step=8080, episodic_return=6.98
global_step=8148, episodic_return=6.88
Eval: global_step=8192, reward=1009.31 +/- 0.46
global_step=8308, episodic_return=17.53
global_step=8468, episodic_return=23.51
global_step=8520, episodic_return=9.32
global_step=8612, episodic_return=21.83
global_step=8656, episodic_return=7.63
global_step=8792, episodic_return=25.25
global_step=8976, episodic_return=69.53
global_step=9052, episodic_return=14.67
global_step=9096, episodic_return=6.08
global_step=9168, episodic_return=16.09
global_step=9240, episodic_return=13.25
global_step=9332, episodic_return=21.96
global_step=9452, episodic_return=37.03
global_step=9612, episodic_return=44.50
global_step=9668, episodic_return=7.34
global_step=9768, episodic_return=17.59
global_step=9832, episodic_return=9.23
global_step=9960, episodic_return=23.92
global_step=10032, episodic_return=15.79
global_step=10144, episodic_return=19.47
global_step=10268, episodic_return=16.92
global_step=10408, episodic_return=23.60
global_step=10480, episodic_return=13.91
global_step=10548, episodic_return=10.79
global_step=10628, episodic_return=9.80
global_step=10716, episodic_return=18.46
global_step=10772, episodic_return=11.22
global_step=10844, episodic_return=9.90
global_step=10920, episodic_return=8.18
global_step=10980, episodic_return=8.40
global_step=11112, episodic_return=22.46
global_step=11156, episodic_return=7.32
global_step=11240, episodic_return=17.88
global_step=11376, episodic_return=19.37
global_step=11496, episodic_return=24.55
global_step=11584, episodic_return=11.18
global_step=11640, episodic_return=11.12
global_step=11744, episodic_return=13.54
global_step=11876, episodic_return=23.34
global_step=12044, episodic_return=31.37
global_step=12112, episodic_return=14.88
global_step=12176, episodic_return=5.74
global_step=12256, episodic_return=17.38
global_step=12300, episodic_return=5.55
